ID,ID2,BRAND,TITLE,CATEGORY,UPC,MSRP,COST
,AAPBD100,Active Aqua,Bottom Draw Pump Adapter 1in (150/cs),Pumps & Irrigation,638104017756,5.54,3.27
,AAPM275,Active Aqua,Pro Pump 275 GPH,Pumps & Irrigation,638104630061,89.95,44.98
,AAPM500,Active Aqua,Pro Pump 500 GPH,Pumps & Irrigation,638104630054,111.95,55.98
,AAPM700,Active Aqua,Pump 700 GPH for EZC60,Pumps & Irrigation,250330251720,125.95,62.98
,AAPM950,Active Aqua,Pump 950 GPH for EZC120,Pumps & Irrigation,250330271056,161.95,80.98
,AAPMHF,Hydrofarm,Garden Hose 1/2in Barbed Fitting. 250-500,Pumps & Irrigation,25033122505,10.95,5.48
,AAPMIMP150,Active Aqua,Impeller for PU150,Pumps & Irrigation,25033126558,14.95,7.48
,AAPMIMP275,Active Aqua,Impeller for PU275,Pumps & Irrigation,25033125551,17.95,8.98
,AAPMIMP500,Active Aqua,Impeller for PU500,Pumps & Irrigation,25033125759,21.95,10.98
,AAPMPF1,Active Aqua,Pre-Filter/PU150,Pumps & Irrigation,25033126053,5.95,2.98
,AAPMPF2,Active Aqua,Pre-Filter/PU275-500,Pumps & Irrigation,25033125056,10.95,5.48
,AAPW1000,Active Aqua,Active Aqua Pump 1000 GPH,Pumps & Irrigation,638104650069,76.95,38.48
,AAPW160,Active Aqua,Active Aqua Pump 160 GPH,Pumps & Irrigation,638104650021,14.95,7.48
,AAPW250,Active Aqua,Active Aqua Pump 250 GPH,Pumps & Irrigation,638104650014,25.95,12.98
,AAPW40,Active Aqua,Active Aqua Pump 40 GPH,Pumps & Irrigation,638104650403,9.95,4.98
,AAPW400,Active Aqua,Active Aqua Pump 400 GPH,Pumps & Irrigation,638104650038,28.95,14.48
,AAPW550,Active Aqua,Active Aqua Pump 550 GPH,Pumps & Irrigation,638104650045,48.95,24.48
,AAPW800,Active Aqua,Active Aqua Pump 800 GPH,Pumps & Irrigation,638104650052,66.95,33.48
,AAPWIMP1000,Active Aqua,Impeller for AAPW1000,Pumps & Irrigation,638104008068,16.95,10.17
,AAPWIMP160,Active Aqua,Impeller for AAPW160,Pumps & Irrigation,638104007986,2.95,1.77
,AAPWIMP250,Active Aqua,Impeller for AAPW250,Pumps & Irrigation,638104008013,2.95,1.77
,AAPWIMP400,Active Aqua,Impeller for AAPW400,Pumps & Irrigation,638104008037,4.95,2.97
,AAPWIMP550,Active Aqua,Impeller for AAPW550,Pumps & Irrigation,638104008044,7.95,4.77
,AAPWIMP800,Active Aqua,Impeller for AAPW800,Pumps & Irrigation,638104008051,7.95,4.77
,AAPWPF1000,Active Aqua,Pre-filter AAPW1000,Pumps & Irrigation,638104008105,1.95,1.17
,AAPWPF160,Active Aqua,Pre-filter AAPW160,Pumps & Irrigation,638104008075,0.95,0.57
,AAPWPF250,Active Aqua,Pre-filter AAPW250,Pumps & Irrigation,638104008129,1.95,1.17
,AAPWPF400,Active Aqua,Pre-filter AAPW400,Pumps & Irrigation,638104008150,1.95,1.17
